               epoch,      v9train/box_loss,      v9train/cls_loss,      v9train/dfl_loss,      v9val/box_loss,        v9val/cls_loss,        v9val/dfl_loss,      g_ev_train/box_loss,      g_ev_train/cls_loss,      g_ev_train/dfl_loss,       g_ev_val/box_loss,        g_ev_val/cls_loss,        g_ev_val/dfl_loss,     ge_train/box_loss,      ge_train/cls_loss,      ge_train/dfl_loss,        ge_val/box_loss,        ge_val/cls_loss,        ge_val/dfl_loss
49,1.6544,1.4502,1.4785,1.6301,1.4064,1.6315,1.5278,1.1518,1.3789,1.6193,1.1275,1.5635,1.5278,1.1518,1.3789,1.7227,1.2547,1.7067
50,1.6186,1.4425,1.4374,1.6257,1.2866,1.6099,1.5142,1.1566,1.3458,1.6072,1.0555,1.5564,1.5142,1.1566,1.3458,1.7177,1.175,1.7482
51,1.6001,1.3866,1.4356,1.6138,1.2294,1.5966,1.5508,1.1826,1.4215,1.5954,1.1376,1.58,1.5508,1.1826,1.4215,1.6566,1.2426,1.6917
52,1.6352,1.3913,1.4393,1.6106,1.235,1.6157,1.5237,1.1746,1.3875,1.6374,1.0831,1.601,1.5237,1.1746,1.3875,1.6418,1.2092,1.6769
53,1.5979,1.3786,1.4147,1.5726,1.2059,1.6032,1.4918,1.1764,1.3783,1.6514,1.0193,1.5827,1.4918,1.1764,1.3783,1.6795,1.265,1.6958
54,1.5708,1.343,1.3931,1.6074,1.2176,1.6275,1.5207,1.1989,1.3668,1.686,1.1902,1.6241,1.5207,1.1989,1.3668,1.6515,1.2242,1.6703
55,1.5593,1.3464,1.4192,1.6155,1.219,1.6287,1.4648,1.125,1.3817,1.6855,1.0597,1.6462,1.4648,1.125,1.3817,1.7045,1.1843,1.7041
56,1.6353,1.3569,1.4235,1.6081,1.1879,1.6231,1.4686,1.1052,1.3242,1.6893,1.2531,1.6182,1.4686,1.1052,1.3242,1.684,1.1709,1.694
57,1.5814,1.329,1.4339,1.5688,1.1882,1.6006,1.5084,1.1179,1.3658,1.5987,1.0026,1.5723,1.5084,1.1179,1.3658,1.6736,1.1368,1.6822
58,1.527,1.3222,1.3763,1.5871,1.2609,1.6077,1.4757,1.0916,1.3552,1.6425,0.98401,1.6144,1.4757,1.0916,1.3552,1.6551,1.1564,1.6898
59,1.55,1.3266,1.38,1.6114,1.1668,1.6278,1.4661,1.1014,1.3809,1.6205,0.97827,1.5626,1.4661,1.1014,1.3809,1.6782,1.2098,1.6907
